"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"144","Carlos Hyde",8692,2019,"HOU",225,4.82301644325256,4.7118022502979,-0.111214192954659,4.66,2014,2.77,1.69,40.8,144,4.58,2.68
"145","Joe Mixon",11803,2018,"CIN",160,5.12535033524036,5.01355800139169,-0.111792333848676,4.49,2017,2.7,1.57,40.7,145,4.58,2.68
"146","Brian Hill",11911,2019,"ATL",72,5.13730646504296,5.01827939271675,-0.119027072326217,4.54,2017,2.65,1.62,40,146,4.58,2.68
"147","Saquon Barkley",45791,2018,"NYG",218,4.95046566604474,4.8313915667585,-0.119074099286243,4.4,2018,2.57,1.54,40,147,4.58,2.68
"148","Leonard Fournette",11759,2020,"TB",97,4.992122986882,4.86973768781313,-0.122385299068871,4.51,2017,2.65,1.59,39.7,148,4.59,2.68
"149","Devonta Freeman",8738,2020,"NYG",55,4.92215541926297,4.79864134169327,-0.123514077569707,4.58,2014,2.69,1.66,39.6,149,4.59,2.68
"150","Jordan Howard",10784,2019,"PHI",101,4.99413203484941,4.87028119838949,-0.123850836459922,4.59,2016,2.68,1.66,39.5,150,4.59,2.68
"151","Kalen Ballage",45741,2019,"MIA",63,4.97884887362283,4.85464473224433,-0.124204141378503,4.46,2018,2.61,1.54,39.5,151,4.59,2.68
"152","Leonard Fournette",11759,2018,"JAX",88,4.97905389829115,4.85216743012755,-0.1268864681636,4.51,2017,2.65,1.59,39.2,152,4.59,2.68
"153","Melvin Gordon III",9448,2019,"LAC",154,5.14501240501156,5.0140643974921,-0.130948007519459,4.52,2015,2.66,1.62,38.8,153,4.59,2.68
"154","Zack Moss",40341,2020,"BUF",100,5.28800972223282,5.15534571939821,-0.13266400283461,4.65,2020,2.66,1.60130952380952,38.6,154,4.6,2.68
"155","Jordan Wilkins",26618,2020,"IND",75,4.99185761769613,4.85896971942202,-0.132887898274109,4.57,2018,2.76,1.62,38.6,155,4.6,2.68
"156","LeSean McCoy",4976,2018,"BUF",129,5.03508298156797,4.90176986408305,-0.133313117484921,4.5,2009,2.67,1.58,38.6,156,4.6,2.69
"157","Kenneth Dixon",10768,2018,"BAL",50,4.87044726371765,4.73687637578026,-0.133570887937392,4.58,2016,2.73,1.57,38.6,157,4.6,2.69
"158","Joe Mixon",11803,2020,"CIN",116,5.02992070954422,4.89493711724169,-0.134983592302528,4.49,2017,2.7,1.57,38.4,158,4.6,2.69
"159","Nyheim Hines",48103,2020,"IND",82,4.84385223214219,4.70869192662946,-0.135160305512736,4.38,2018,2.55,1.52,38.4,159,4.6,2.69
"160","Damien Williams",9205,2019,"KC",103,5.04178030514023,4.89971598257167,-0.142064322568554,4.45,2014,2.61,1.56,37.7,160,4.61,2.69
"161","Ezekiel Elliott",10638,2018,"DAL",274,5.18534541826179,5.04008661997743,-0.145258798284358,4.47,2016,2.62,1.58,37.4,161,4.61,2.69
"162","Nyheim Hines",48103,2018,"IND",71,4.97080057103869,4.82511383462387,-0.145686736414816,4.38,2018,2.55,1.52,37.4,162,4.61,2.7
"163","Nick Chubb",45783,2018,"CLE",168,5.03146247494788,4.88358266871399,-0.147879806233896,4.52,2018,2.67,1.62,37.1,163,4.61,2.7
"164","Josh Jacobs",45953,2020,"LV",251,5.05978803425671,4.90802455350742,-0.151763480749288,4.68,2019,2.71,1.65,36.8,164,4.61,2.7
"165","Wayne Gallman",11895,2020,"NYG",136,4.82320049405098,4.66582597843399,-0.157374515616988,4.6,2017,2.67,1.6,36.2,165,4.61,2.7
"166","Carlos Hyde",8692,2018,"CLE",96,4.95969161142906,4.79575513694433,-0.163936474484725,4.66,2014,2.77,1.69,35.6,166,4.62,2.7
"167","Adrian Peterson",3623,2018,"WAS",179,5.2034863519935,5.03049448904545,-0.172991862948044,4.4,2007,2.6,1.57,34.7,167,4.62,2.7
"168","Devin Singletary",40485,2020,"BUF",150,5.17974312146505,4.99027755450355,-0.189465566961495,4.66,2019,2.66,1.60130952380952,33,168,4.62,2.7
"169","Jordan Howard",10784,2018,"CHI",208,4.84604458969373,4.65125141552763,-0.194793174166098,4.59,2016,2.68,1.66,32.5,169,4.62,2.7
"170","James White",8765,2019,"NE",59,5.06649445679228,4.87016100412746,-0.196333452664817,4.57,2014,2.66,1.6,32.4,170,4.62,2.7
"171","Ronald Jones",34001,2019,"TB",151,4.95600380171214,4.75715845752155,-0.198845344190584,4.52,2018,2.66,1.68,32.1,171,4.62,2.7
